"240,5.60493397214007e-05"
"480,2.75677978250326e-05"
"720,3.75530916013852e-05"
"960,4.14045828096108e-05"
"1200,3.41844703619393e-05"
"1440,2.37881147920456e-05"
"1680,9.12037358759926e-06"
"1920,4.86471993379798e-05"
"2160,4.13888044152511e-05"
"2400,3.87847522747001e-05"
"2640,2.67557390324641e-05"
"2880,4.05999662736843e-05"
"3120,2.89345099077342e-05"
"3360,3.47573646405288e-05"
"3600,1.77845068171222e-05"
"3840,2.2224275738854e-05"
"4080,2.86419132225399e-05"
"4320,3.87897234729938e-05"
"4560,2.82171425151436e-05"
"4800,4.29081579125236e-05"
"5040,6.38207971100844e-06"
