"240,0.106929381949035"
"480,0.200696364026793"
"720,0.108028204772077"
"960,0.140190607586041"
"1200,0.132785620663469"
"1440,0.147261592603555"
"1680,0.228813918763118"
"1920,0.136478273509988"
"2160,0.110950135115405"
"2400,0.0768825096415892"
"2640,0.153073214220766"
"2880,0.12216718434324"
"3120,0.171306468183041"
"3360,0.123001767211644"
"3600,0.141518549821793"
"3840,0.133158405904835"
"4080,0.149395439287448"
"4320,0.160146025502991"
"4560,0.113214359070364"
"4800,0.163471310560306"
"5040,0.191650980409951"
