"240,0.557513246729133"
"480,0.57778022267365"
"720,0.61575139181544"
"960,0.550873415084056"
"1200,0.595466336418804"
"1440,0.546195560100955"
"1680,0.553256522015771"
"1920,0.598553399408344"
"2160,0.591106036817239"
"2400,0.609582781005969"
"2640,0.486921348351356"
"2880,0.606977929309349"
"3120,0.629358040223184"
"3360,0.600504858716293"
"3600,0.598121750659974"
"3840,0.575019245050748"
"4080,0.587624828374456"
"4320,0.578100082473894"
"4560,0.595928147636559"
"4800,0.669171250360281"
"5040,0.566810178957972"
