"240,6.46925938684253e-05"
"480,0.000105729834343968"
"720,8.88813371242714e-05"
"960,0.000208649836962294"
"1200,5.60270734705089e-05"
"1440,3.25546865447616e-05"
"1680,0.000258683860156893"
"1920,0.000396778740686962"
"2160,0.000132252441836078"
"2400,8.15066231514908e-05"
"2640,4.25168782472397e-05"
"2880,0.000350477398737293"
"3120,0.00120168220366575"
"3360,2.98064695476529e-05"
"3600,0.00459634289788675"
"3840,0.000999943172631409"
"4080,0.000395474262968552"
"4320,1.10654115533577e-05"
"4560,6.103758337121e-05"
"4800,7.69300107086626e-05"
"5040,0.000301231036538405"
