"240,0.131212965188997"
"480,0.3377802596775"
"720,0.0781931485229704"
"960,0.154314618497918"
"1200,0.101021957939284"
"1440,0.077073903827104"
"1680,0.167096164742906"
"1920,0.113859349384874"
"2160,0.116569566807252"
"2400,0.139843874339638"
"2640,0.109807786260564"
"2880,0.0810277822532731"
"3120,0.298944463722019"
"3360,0.0983352452214197"
"3600,0.184090429797242"
"3840,0.109253434543691"
"4080,0.140803647203682"
"4320,0.152071646811738"
"4560,0.12308695191655"
"4800,0.134766542652192"
"5040,0.0911502381944616"
